s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,loc
561,712,599,597,556,586,473,534,770,1056,414,476,787,899,391,463,194,467,544,613,726,379,2156,585,1287,223,695,0
562,712,595,601,558,587,473,534,769,1054,415,474,787,899,391,466,149,467,545,613,729,379,2157,586,1286,223,695,0
563,713,596,601,558,587,474,538,769,1056,413,474,787,898,391,463,130,467,544,613,726,379,2157,590,1286,223,695,0
564,713,598,598,560,584,474,536,771,1053,414,474,786,899,390,464,132,467,545,613,727,380,2157,586,1285,223,695,0
564,713,599,601,560,586,475,534,770,1054,415,476,787,899,387,464,130,467,544,613,727,378,2155,586,1286,223,696,0
564,713,599,603,562,586,474,537,769,1053,415,474,787,898,387,463,126,467,545,612,725,378,2159,585,1287,222,694,0
564,713,599,598,562,586,475,536,772,1056,415,474,787,899,387,466,130,467,544,612,727,379,2157,586,1285,222,696,0
564,714,597,598,561,586,475,534,770,1055,414,475,787,899,387,463,130,467,544,612,727,378,2155,586,1286,223,695,0
564,713,598,599,560,585,473,538,769,1054,414,476,787,899,390,464,127,468,543,613,726,378,2158,585,1286,223,696,0
564,713,599,603,560,587,475,537,770,1054,415,475,786,899,391,465,130,465,544,613,727,380,2158,589,1286,223,696,0
564,712,596,598,560,587,474,534,771,1054,415,475,787,899,390,464,132,466,545,612,726,380,2156,590,1287,222,694,0
564,712,598,601,560,586,473,537,770,1055,415,474,787,899,391,465,129,467,544,612,727,379,2159,586,1286,222,695,0
564,713,599,601,562,587,472,539,770,1055,415,476,786,899,390,467,127,467,545,612,728,379,2157,591,1285,223,696,0
564,713,599,603,560,586,475,536,770,1053,414,475,787,899,387,465,132,466,545,613,726,378,2156,586,1286,222,695,0
564,712,599,598,562,586,474,535,770,1055,416,476,787,899,391,466,133,466,545,613,726,379,2158,586,1287,223,694,0
564,713,599,603,562,587,473,535,769,1056,415,475,787,899,387,465,128,465,544,612,728,379,2158,585,1286,223,695,0
564,712,597,603,560,586,475,539,772,1055,417,477,787,899,390,463,133,466,543,612,727,378,2156,585,1287,222,695,0
564,712,597,604,560,587,475,535,770,1054,414,474,787,899,387,464,134,466,544,612,726,378,2157,585,1287,223,696,0
