date,wavelength1,wavelength2,wavelength3,wavelength4,wavelength5,wavelength6,wavelength7,wavelength8,wavelength9,wavelength10,wavelength11,wavelength12,wavelength13,wavelength14,wavelength15,wavelength16,wavelength17,wavelength18,solar1,solar2,solar3
2023-07-19 10:03:35,8.67,28.89,13.22,29.78,12.76,20.06,37.59,23.61,215.08,14.67,6.03,5.34,5.04,2.53,5.87,2.20,1.25,0.96,23,76,272
2023-07-19 10:03:35,8.67,29.86,14.10,29.78,12.76,20.68,37.59,24.09,217.47,14.67,6.03,5.34,5.04,2.53,5.87,2.20,1.25,0.96,21,75,273
2023-07-19 10:03:36,8.67,29.86,14.10,29.78,12.76,20.68,37.59,24.09,218.66,15.08,6.03,5.34,5.04,3.38,5.87,2.20,1.25,0.96,22,76,270
2023-07-19 10:03:37,8.67,29.86,14.10,29.78,12.76,20.68,37.59,24.09,218.66,15.08,7.03,5.34,5.04,3.38,5.87,2.20,1.25,0.96,24,78,274
2023-07-19 10:03:38,8.67,29.86,14.10,29.78,12.76,20.68,37.59,24.09,218.66,15.08,6.03,5.34,5.04,2.53,5.87,2.20,1.25,0.96,22,77,275
2023-07-19 10:03:39,8.67,29.86,14.10,29.78,12.76,20.68,37.59,24.09,218.66,15.08,7.03,5.34,5.04,2.53,5.87,2.20,1.25,0.96,22,77,274
2023-07-19 10:03:40,8.67,29.86,14.10,29.78,12.76,20.68,37.59,24.09,218.66,15.08,6.03,5.34,5.04,2.53,5.87,2.20,1.25,0.96,21,74,270
2023-07-19 10:03:40,8.67,29.86,14.10,29.78,12.76,20.68,37.59,24.57,218.66,15.08,7.03,5.34,5.04,3.38,5.87,2.20,1.25,0.96,21,75,273
2023-07-19 10:03:41,8.67,29.86,14.10,29.78,12.76,20.68,37.59,24.57,218.66,15.08,6.03,5.34,5.04,3.38,5.87,2.20,1.25,0.96,23,78,274
2023-07-19 10:03:42,8.67,29.86,14.10,29.78,12.76,20.68,37.59,24.57,218.66,15.08,6.03,5.34,5.04,2.53,5.87,2.20,1.25,0.96,23,77,272
2023-07-19 10:03:43,8.67,29.86,14.10,29.78,12.76,20.68,37.59,24.09,218.66,15.08,6.03,5.34,5.04,3.38,5.87,2.20,1.25,0.96,23,77,273
2023-07-19 10:03:44,8.67,29.86,14.10,29.78,12.76,20.68,37.59,24.09,218.66,15.08,6.03,5.34,5.04,3.38,5.87,2.20,1.25,1.93,22,78,276
2023-07-19 10:03:44,8.67,29.86,14.10,29.78,12.76,20.68,37.59,24.09,218.66,15.08,6.03,5.34,5.04,2.53,5.87,2.20,1.25,0.96,23,78,274
2023-07-19 10:03:45,8.67,29.86,14.10,29.78,12.76,20.68,37.59,24.09,217.47,15.08,7.03,5.34,5.04,2.53,5.87,2.20,1.25,0.96,23,77,274
2023-07-19 10:03:46,8.67,29.86,14.10,29.78,13.47,21.31,37.59,24.57,217.47,15.08,7.03,5.34,5.04,2.53,5.87,2.20,1.25,0.96,23,77,273
2023-07-19 10:03:47,8.67,28.89,14.10,29.78,12.76,21.31,37.59,24.57,217.47,14.67,7.03,5.34,5.04,2.53,5.87,2.20,1.25,0.96,20,74,273
2023-07-19 10:03:48,8.67,28.89,14.10,29.78,12.76,20.68,37.59,24.09,216.27,14.67,7.03,5.34,5.04,2.53,5.87,2.20,1.25,0.96,22,77,274
2023-07-19 10:03:49,8.67,29.86,14.10,29.78,13.47,21.31,37.59,25.05,218.66,14.67,7.03,5.34,5.04,2.53,5.87,2.20,1.25,0.96,21,75,273
2023-07-19 10:03:50,8.67,28.89,14.10,29.78,13.47,21.31,37.08,24.57,215.08,14.67,7.03,5.34,5.04,2.53,5.87,2.20,1.25,0.96,21,74,270
2023-07-19 10:03:50,8.67,27.93,14.10,29.78,12.76,20.06,36.56,24.09,213.88,14.27,6.03,4.93,5.04,2.53,5.87,2.20,1.25,0.96,21,76,271
2023-07-19 10:03:51,6.94,24.08,13.22,27.15,12.76,18.18,35.02,22.16,198.35,13.04,6.03,4.93,5.04,2.53,5.03,2.20,1.25,0.96,21,74,269
2023-07-19 10:03:52,6.94,24.08,12.34,27.15,12.05,18.18,33.99,21.20,184.01,11.82,6.03,4.93,4.20,2.53,5.03,2.20,1.25,0.96,21,74,268
2023-07-19 10:03:53,6.94,23.12,13.22,26.28,12.05,18.18,33.99,20.72,176.84,11.41,6.03,4.93,4.20,2.53,5.03,2.20,1.25,0.96,23,76,272
2023-07-19 10:03:54,7.81,24.08,11.45,28.90,12.05,18.80,35.53,23.12,204.32,11.82,6.03,4.93,4.20,2.53,5.03,2.20,1.25,0.96,19,72,266
2023-07-19 10:03:54,8.67,28.89,14.10,29.78,13.47,23.19,36.56,26.02,224.64,15.08,7.03,5.34,4.20,2.53,5.87,2.20,1.25,0.96,22,75,269
2023-07-19 10:03:55,8.67,30.82,14.98,29.78,13.47,23.19,36.56,26.02,224.64,15.49,7.03,5.34,5.04,2.53,5.87,2.20,1.25,0.96,21,73,266
2023-07-19 10:03:56,7.81,24.08,12.34,28.03,12.76,19.43,36.56,22.16,206.71,13.04,6.03,5.34,4.20,2.53,5.03,2.20,1.25,0.96,23,75,271
2023-07-19 10:03:57,7.81,23.12,10.57,28.03,12.05,21.31,36.56,22.16,201.93,13.45,6.03,5.34,4.20,2.53,5.03,2.20,1.25,0.96,21,73,267
2023-07-19 10:03:58,8.67,31.78,14.98,29.78,13.47,23.19,37.08,26.50,224.64,15.49,7.03,5.34,5.04,2.53,5.87,2.20,1.25,0.96,22,74,269
2023-07-19 10:03:59,8.67,30.82,14.98,29.78,13.47,23.82,37.08,26.50,224.64,15.90,7.03,5.75,5.04,2.53,5.87,2.20,1.25,0.96,21,71,265
2023-07-19 10:03:59,8.67,30.82,14.98,28.90,13.47,23.19,36.56,25.53,218.66,15.08,7.03,5.34,5.04,2.53,5.87,2.20,1.25,0.96,20,72,266
