date,wavelength1,wavelength2,wavelength3,wavelength4,wavelength5,wavelength6,wavelength7,wavelength8,wavelength9,wavelength10,wavelength11,wavelength12,wavelength13,wavelength14,wavelength15,wavelength16,wavelength17,wavelength18,solar1,solar2,solar3
2023-04-20 14:36:31,5.20,40.45,29.96,15.77,12.76,38.86,33.99,26.02,119.49,15.08,12.06,7.81,5.88,4.22,5.03,2.20,2.51,1.93,93,51,6
2023-04-20 14:36:32,5.20,40.45,29.96,15.77,12.76,38.86,33.99,26.02,120.68,15.08,12.06,7.81,5.88,4.22,5.03,2.20,2.51,1.93,91,50,6
2023-04-20 14:36:33,5.20,40.45,29.96,15.77,12.76,38.86,33.99,26.02,119.49,15.08,12.06,7.81,5.88,4.22,5.03,2.20,2.51,1.93,94,52,5
2023-04-20 14:36:34,5.20,40.45,29.96,15.77,12.76,38.86,33.99,26.02,120.68,15.08,12.06,7.81,5.88,4.22,5.03,2.20,2.51,1.93,93,52,6
2023-04-20 14:36:35,5.20,40.45,29.96,15.77,12.76,38.86,33.99,26.02,119.49,15.08,13.06,7.81,5.88,4.22,5.03,2.20,2.51,1.93,91,51,6
2023-04-20 14:36:36,5.20,40.45,29.96,15.77,12.76,38.86,33.99,26.02,119.49,15.08,12.06,7.81,5.88,4.22,5.03,2.20,2.51,1.93,95,53,6
2023-04-20 14:36:36,5.20,40.45,29.96,15.77,12.76,38.86,33.99,26.02,119.49,15.08,12.06,7.81,5.88,4.22,5.03,2.20,2.51,1.93,93,51,5
2023-04-20 14:36:37,5.20,40.45,29.96,15.77,12.76,38.86,33.99,26.02,119.49,15.08,12.06,7.81,5.88,4.22,5.03,2.20,2.51,1.93,96,53,6
2023-04-20 14:36:38,5.20,40.45,29.96,15.77,12.76,38.86,33.99,26.02,120.68,15.08,12.06,7.81,5.88,4.22,5.03,2.20,2.51,1.93,92,51,6
2023-04-20 14:36:39,5.20,40.45,29.96,15.77,12.76,38.23,33.99,26.02,120.68,15.08,13.06,7.81,5.88,4.22,5.03,2.20,2.51,1.93,94,53,5
2023-04-20 14:36:40,5.20,40.45,29.96,15.77,12.76,38.86,33.99,26.02,120.68,15.08,13.06,7.81,5.88,4.22,5.03,2.20,2.51,1.93,95,53,7
2023-04-20 14:36:40,5.20,40.45,29.96,15.77,12.76,38.86,33.99,26.02,120.68,15.08,12.06,7.81,5.88,4.22,5.03,2.20,2.51,1.93,95,53,6
2023-04-20 14:36:41,5.20,40.45,29.96,15.77,12.76,38.23,33.99,26.02,120.68,15.08,12.06,7.81,5.88,4.22,5.03,2.20,2.51,1.93,92,51,6
2023-04-20 14:36:42,5.20,40.45,29.96,15.77,12.76,38.86,33.99,26.02,120.68,15.08,12.06,7.81,5.88,4.22,5.03,2.20,2.51,1.93,91,50,6
2023-04-20 14:36:43,5.20,40.45,29.96,15.77,12.76,38.86,33.99,26.02,120.68,15.08,13.06,7.81,5.88,4.22,5.03,2.20,2.51,1.93,91,51,6
2023-04-20 14:36:44,5.20,40.45,29.96,15.77,12.76,38.86,33.99,26.02,120.68,15.08,13.06,7.81,5.88,4.22,5.03,2.20,2.51,1.93,94,52,6
