date,value
2023-04-20 14:36:31,5.2
2023-04-20 14:36:31,40.45
2023-04-20 14:36:31,29.96
2023-04-20 14:36:31,15.77
2023-04-20 14:36:31,12.76
2023-04-20 14:36:31,38.86
2023-04-20 14:36:31,33.99
2023-04-20 14:36:31,26.02
2023-04-20 14:36:31,119.49
2023-04-20 14:36:31,15.08
2023-04-20 14:36:31,12.06
2023-04-20 14:36:31,7.81
2023-04-20 14:36:31,5.88
2023-04-20 14:36:31,4.22
2023-04-20 14:36:31,5.03
2023-04-20 14:36:31,2.2
2023-04-20 14:36:31,2.51
2023-04-20 14:36:31,1.93
2023-04-20 14:36:31,93.0
2023-04-20 14:36:31,51.0
2023-04-20 14:36:31,6.0
2023-04-20 14:36:32,5.2
2023-04-20 14:36:32,40.45
2023-04-20 14:36:32,29.96
2023-04-20 14:36:32,15.77
2023-04-20 14:36:32,12.76
2023-04-20 14:36:32,38.86
2023-04-20 14:36:32,33.99
2023-04-20 14:36:32,26.02
2023-04-20 14:36:32,120.68
2023-04-20 14:36:32,15.08
2023-04-20 14:36:32,12.06
2023-04-20 14:36:32,7.81
2023-04-20 14:36:32,5.88
2023-04-20 14:36:32,4.22
2023-04-20 14:36:32,5.03
2023-04-20 14:36:32,2.2
2023-04-20 14:36:32,2.51
2023-04-20 14:36:32,1.93
2023-04-20 14:36:32,91.0
2023-04-20 14:36:32,50.0
2023-04-20 14:36:32,6.0
2023-04-20 14:36:33,5.2
2023-04-20 14:36:33,40.45
2023-04-20 14:36:33,29.96
2023-04-20 14:36:33,15.77
2023-04-20 14:36:33,12.76
2023-04-20 14:36:33,38.86
2023-04-20 14:36:33,33.99
2023-04-20 14:36:33,26.02
2023-04-20 14:36:33,119.49
2023-04-20 14:36:33,15.08
2023-04-20 14:36:33,12.06
2023-04-20 14:36:33,7.81
2023-04-20 14:36:33,5.88
2023-04-20 14:36:33,4.22
2023-04-20 14:36:33,5.03
2023-04-20 14:36:33,2.2
2023-04-20 14:36:33,2.51
2023-04-20 14:36:33,1.93
2023-04-20 14:36:33,94.0
2023-04-20 14:36:33,52.0
2023-04-20 14:36:33,5.0
2023-04-20 14:36:34,5.2
2023-04-20 14:36:34,40.45
2023-04-20 14:36:34,29.96
2023-04-20 14:36:34,15.77
2023-04-20 14:36:34,12.76
2023-04-20 14:36:34,38.86
2023-04-20 14:36:34,33.99
2023-04-20 14:36:34,26.02
2023-04-20 14:36:34,120.68
2023-04-20 14:36:34,15.08
2023-04-20 14:36:34,12.06
2023-04-20 14:36:34,7.81
2023-04-20 14:36:34,5.88
2023-04-20 14:36:34,4.22
2023-04-20 14:36:34,5.03
2023-04-20 14:36:34,2.2
2023-04-20 14:36:34,2.51
2023-04-20 14:36:34,1.93
2023-04-20 14:36:34,93.0
2023-04-20 14:36:34,52.0
2023-04-20 14:36:34,6.0
2023-04-20 14:36:35,5.2
2023-04-20 14:36:35,40.45
2023-04-20 14:36:35,29.96
2023-04-20 14:36:35,15.77
2023-04-20 14:36:35,12.76
2023-04-20 14:36:35,38.86
2023-04-20 14:36:35,33.99
2023-04-20 14:36:35,26.02
2023-04-20 14:36:35,119.49
2023-04-20 14:36:35,15.08
2023-04-20 14:36:35,13.06
2023-04-20 14:36:35,7.81
2023-04-20 14:36:35,5.88
2023-04-20 14:36:35,4.22
2023-04-20 14:36:35,5.03
2023-04-20 14:36:35,2.2
2023-04-20 14:36:35,2.51
2023-04-20 14:36:35,1.93
2023-04-20 14:36:35,91.0
2023-04-20 14:36:35,51.0
2023-04-20 14:36:35,6.0
2023-04-20 14:36:36,5.2
2023-04-20 14:36:36,40.45
2023-04-20 14:36:36,29.96
2023-04-20 14:36:36,15.77
2023-04-20 14:36:36,12.76
2023-04-20 14:36:36,38.86
2023-04-20 14:36:36,33.99
2023-04-20 14:36:36,26.02
2023-04-20 14:36:36,119.49
2023-04-20 14:36:36,15.08
2023-04-20 14:36:36,12.06
2023-04-20 14:36:36,7.81
2023-04-20 14:36:36,5.88
2023-04-20 14:36:36,4.22
2023-04-20 14:36:36,5.03
2023-04-20 14:36:36,2.2
2023-04-20 14:36:36,2.51
2023-04-20 14:36:36,1.93
2023-04-20 14:36:36,95.0
2023-04-20 14:36:36,53.0
2023-04-20 14:36:36,6.0
2023-04-20 14:36:36,5.2
2023-04-20 14:36:36,40.45
2023-04-20 14:36:36,29.96
2023-04-20 14:36:36,15.77
2023-04-20 14:36:36,12.76
2023-04-20 14:36:36,38.86
2023-04-20 14:36:36,33.99
2023-04-20 14:36:36,26.02
2023-04-20 14:36:36,119.49
2023-04-20 14:36:36,15.08
2023-04-20 14:36:36,12.06
2023-04-20 14:36:36,7.81
2023-04-20 14:36:36,5.88
2023-04-20 14:36:36,4.22
2023-04-20 14:36:36,5.03
2023-04-20 14:36:36,2.2
2023-04-20 14:36:36,2.51
2023-04-20 14:36:36,1.93
2023-04-20 14:36:36,93.0
2023-04-20 14:36:36,51.0
2023-04-20 14:36:36,5.0
2023-04-20 14:36:37,5.2
2023-04-20 14:36:37,40.45
2023-04-20 14:36:37,29.96
2023-04-20 14:36:37,15.77
2023-04-20 14:36:37,12.76
2023-04-20 14:36:37,38.86
2023-04-20 14:36:37,33.99
2023-04-20 14:36:37,26.02
2023-04-20 14:36:37,119.49
2023-04-20 14:36:37,15.08
2023-04-20 14:36:37,12.06
2023-04-20 14:36:37,7.81
2023-04-20 14:36:37,5.88
2023-04-20 14:36:37,4.22
2023-04-20 14:36:37,5.03
2023-04-20 14:36:37,2.2
2023-04-20 14:36:37,2.51
2023-04-20 14:36:37,1.93
2023-04-20 14:36:37,96.0
2023-04-20 14:36:37,53.0
2023-04-20 14:36:37,6.0
2023-04-20 14:36:38,5.2
2023-04-20 14:36:38,40.45
2023-04-20 14:36:38,29.96
2023-04-20 14:36:38,15.77
2023-04-20 14:36:38,12.76
2023-04-20 14:36:38,38.86
2023-04-20 14:36:38,33.99
2023-04-20 14:36:38,26.02
2023-04-20 14:36:38,120.68
2023-04-20 14:36:38,15.08
2023-04-20 14:36:38,12.06
2023-04-20 14:36:38,7.81
2023-04-20 14:36:38,5.88
2023-04-20 14:36:38,4.22
2023-04-20 14:36:38,5.03
2023-04-20 14:36:38,2.2
2023-04-20 14:36:38,2.51
2023-04-20 14:36:38,1.93
2023-04-20 14:36:38,92.0
2023-04-20 14:36:38,51.0
2023-04-20 14:36:38,6.0
2023-04-20 14:36:39,5.2
2023-04-20 14:36:39,40.45
2023-04-20 14:36:39,29.96
2023-04-20 14:36:39,15.77
2023-04-20 14:36:39,12.76
2023-04-20 14:36:39,38.23
2023-04-20 14:36:39,33.99
2023-04-20 14:36:39,26.02
2023-04-20 14:36:39,120.68
2023-04-20 14:36:39,15.08
2023-04-20 14:36:39,13.06
2023-04-20 14:36:39,7.81
2023-04-20 14:36:39,5.88
2023-04-20 14:36:39,4.22
2023-04-20 14:36:39,5.03
2023-04-20 14:36:39,2.2
2023-04-20 14:36:39,2.51
2023-04-20 14:36:39,1.93
2023-04-20 14:36:39,94.0
2023-04-20 14:36:39,53.0
2023-04-20 14:36:39,5.0
2023-04-20 14:36:40,5.2
2023-04-20 14:36:40,40.45
2023-04-20 14:36:40,29.96
2023-04-20 14:36:40,15.77
2023-04-20 14:36:40,12.76
2023-04-20 14:36:40,38.86
2023-04-20 14:36:40,33.99
2023-04-20 14:36:40,26.02
2023-04-20 14:36:40,120.68
2023-04-20 14:36:40,15.08
2023-04-20 14:36:40,13.06
2023-04-20 14:36:40,7.81
2023-04-20 14:36:40,5.88
2023-04-20 14:36:40,4.22
2023-04-20 14:36:40,5.03
2023-04-20 14:36:40,2.2
2023-04-20 14:36:40,2.51
2023-04-20 14:36:40,1.93
2023-04-20 14:36:40,95.0
2023-04-20 14:36:40,53.0
2023-04-20 14:36:40,7.0
2023-04-20 14:36:40,5.2
2023-04-20 14:36:40,40.45
2023-04-20 14:36:40,29.96
2023-04-20 14:36:40,15.77
2023-04-20 14:36:40,12.76
2023-04-20 14:36:40,38.86
2023-04-20 14:36:40,33.99
2023-04-20 14:36:40,26.02
2023-04-20 14:36:40,120.68
2023-04-20 14:36:40,15.08
2023-04-20 14:36:40,12.06
2023-04-20 14:36:40,7.81
2023-04-20 14:36:40,5.88
2023-04-20 14:36:40,4.22
2023-04-20 14:36:40,5.03
2023-04-20 14:36:40,2.2
2023-04-20 14:36:40,2.51
2023-04-20 14:36:40,1.93
2023-04-20 14:36:40,95.0
2023-04-20 14:36:40,53.0
2023-04-20 14:36:40,6.0
2023-04-20 14:36:41,5.2
2023-04-20 14:36:41,40.45
2023-04-20 14:36:41,29.96
2023-04-20 14:36:41,15.77
2023-04-20 14:36:41,12.76
2023-04-20 14:36:41,38.23
2023-04-20 14:36:41,33.99
2023-04-20 14:36:41,26.02
2023-04-20 14:36:41,120.68
2023-04-20 14:36:41,15.08
2023-04-20 14:36:41,12.06
2023-04-20 14:36:41,7.81
2023-04-20 14:36:41,5.88
2023-04-20 14:36:41,4.22
2023-04-20 14:36:41,5.03
2023-04-20 14:36:41,2.2
2023-04-20 14:36:41,2.51
2023-04-20 14:36:41,1.93
2023-04-20 14:36:41,92.0
2023-04-20 14:36:41,51.0
2023-04-20 14:36:41,6.0
2023-04-20 14:36:42,5.2
2023-04-20 14:36:42,40.45
2023-04-20 14:36:42,29.96
2023-04-20 14:36:42,15.77
2023-04-20 14:36:42,12.76
2023-04-20 14:36:42,38.86
