date,value
2023-07-19 10:03:35,8.67
2023-07-19 10:03:35,28.89
2023-07-19 10:03:35,13.22
2023-07-19 10:03:35,29.78
2023-07-19 10:03:35,12.76
2023-07-19 10:03:35,20.06
2023-07-19 10:03:35,37.59
2023-07-19 10:03:35,23.61
2023-07-19 10:03:35,215.08
2023-07-19 10:03:35,14.67
2023-07-19 10:03:35,6.03
2023-07-19 10:03:35,5.34
2023-07-19 10:03:35,5.04
2023-07-19 10:03:35,2.53
2023-07-19 10:03:35,5.87
2023-07-19 10:03:35,2.2
2023-07-19 10:03:35,1.25
2023-07-19 10:03:35,0.96
2023-07-19 10:03:35,23.0
2023-07-19 10:03:35,76.0
2023-07-19 10:03:35,272.0
2023-07-19 10:03:35,8.67
2023-07-19 10:03:35,29.86
2023-07-19 10:03:35,14.1
2023-07-19 10:03:35,29.78
2023-07-19 10:03:35,12.76
2023-07-19 10:03:35,20.68
2023-07-19 10:03:35,37.59
2023-07-19 10:03:35,24.09
2023-07-19 10:03:35,217.47
2023-07-19 10:03:35,14.67
2023-07-19 10:03:35,6.03
2023-07-19 10:03:35,5.34
2023-07-19 10:03:35,5.04
2023-07-19 10:03:35,2.53
2023-07-19 10:03:35,5.87
2023-07-19 10:03:35,2.2
2023-07-19 10:03:35,1.25
2023-07-19 10:03:35,0.96
2023-07-19 10:03:35,21.0
2023-07-19 10:03:35,75.0
2023-07-19 10:03:35,273.0
2023-07-19 10:03:36,8.67
2023-07-19 10:03:36,29.86
2023-07-19 10:03:36,14.1
2023-07-19 10:03:36,29.78
2023-07-19 10:03:36,12.76
2023-07-19 10:03:36,20.68
2023-07-19 10:03:36,37.59
2023-07-19 10:03:36,24.09
2023-07-19 10:03:36,218.66
2023-07-19 10:03:36,15.08
2023-07-19 10:03:36,6.03
2023-07-19 10:03:36,5.34
2023-07-19 10:03:36,5.04
2023-07-19 10:03:36,3.38
2023-07-19 10:03:36,5.87
2023-07-19 10:03:36,2.2
2023-07-19 10:03:36,1.25
2023-07-19 10:03:36,0.96
2023-07-19 10:03:36,22.0
2023-07-19 10:03:36,76.0
2023-07-19 10:03:36,270.0
2023-07-19 10:03:37,8.67
2023-07-19 10:03:37,29.86
2023-07-19 10:03:37,14.1
2023-07-19 10:03:37,29.78
2023-07-19 10:03:37,12.76
2023-07-19 10:03:37,20.68
2023-07-19 10:03:37,37.59
2023-07-19 10:03:37,24.09
2023-07-19 10:03:37,218.66
2023-07-19 10:03:37,15.08
2023-07-19 10:03:37,7.03
